LIBELLE EXAMEN;ANNEE SESSION;MOIS SESSION;SPECIALITE;OPTION SPECIALITE;PARTIC, 1;PARTIC, 2;NUMERO CANDIDAT;CODE EPREUVE;LIBELLE EPREUVE;CODE MATIERE;LIBELLE MATIERE;CONTROLABLE;NOTE;COEFFICIENT EPREUVE;NUMERO GROUPE
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653192;015;EPR.FACULT.1;5011;EPS APTE;N;15;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653192;017;TRAV PERS ENC; ;;N;17;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653192;204;MATHEMATIQUES; ; ;N;7;7;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653192;205;PHYS-CHIMIE; ; ;N;8;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;001;FRANCAIS ECR.; ;;O;9;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;002;FRANCAIS ORAL; ;;N;6;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;003;HIST.GEOG.; ;;O;8;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;004;MATHEMATIQUES; ;;O;6;7;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;005;PHYS-CHIMIE; ;;O;8;6;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;005A;PHYS CHIM ECR; ;;N;5;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;005B;PHYS CHIM PRA; ;;N;18;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;006-2;SC. INGENIEUR; ;;O;10;8;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;006A-2;SC ING ECRIT; ;;N;8,5;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;006B-3;SC ING ORAL; ;;N;13;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;006BA;COND REV PROJ; ;;N;8;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;006BB;PRSENTAT PROJ; ;;N;5;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;007;L.V.E. 1;0002;ANGLAIS;O;11;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;008;LANGUE VIV. 2; ;;O;9;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;008A;LV2 ECRIT;0007;ESPAGNOL;N;9,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;008B;LV2 ORAL;0007;ESPAGNOL;N;7,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;008BA;LV2 COMP ORAL;0007;ESPAGNOL;N;8;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;008BB;LV2 EXP ORALE;0007;ESPAGNOL;N;7;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;009;PHILOSOPHIE; ;;O;9;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;010;ED.PHYS.SPORT; ;;N;12;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;017;TRAV PERS ENC; ;;N;14;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;204;MATHEMATIQUES; ; ;N;4;7;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316653348;205;PHYS-CHIMIE; ; ;N;10;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;001;FRANCAIS ECR.; ;;O;8;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;002;FRANCAIS ORAL; ;;N;6;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;003;HIST.GEOG.; ;;O;6;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;004;MATHEMATIQUES; ;;O;14;7;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;005;PHYS-CHIMIE; ;;O;6;6;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;005A;PHYS CHIM ECR; ;;N;4,5;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;005B;PHYS CHIM PRA; ;;N;8;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;006-2;SC. INGENIEUR; ;;O;11;8;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;006A-2;SC ING ECRIT; ;;N;10;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;006B-3;SC ING ORAL; ;;N;10,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;006BA;COND REV PROJ; ;;N;6,5;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;006BB;PRSENTAT PROJ; ;;N;4;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;007;L.V.E. 1; ;;O;11;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;007A;LV1 ECRIT;0002;ANGLAIS;N;12,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;007B;LV1 ORAL;0002;ANGLAIS;N;9;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;007BA;LV1 COMP ORAL;0002;ANGLAIS;N;10;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;007BB;LV1 EXP ORALE;0002;ANGLAIS;N;8;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;008;LANGUE VIV. 2; ;;O;6;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;008A;LV2 ECRIT;0001;ALLEMAND;N;3,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;008B;LV2 ORAL;0001;ALLEMAND;N;7,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;008BA;LV2 COMP ORAL;0001;ALLEMAND;N;8;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;008BB;LV2 EXP ORALE;0001;ALLEMAND;N;7;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;009;PHILOSOPHIE; ;;O;8;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;010;ED.PHYS.SPORT;5011;EPS APTE;N;14;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;017;TRAV PERS ENC; ;;N;10;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;203;HIST.GEOG.; ; ;N;12;3;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316654471;205;PHYS-CHIMIE; ; ;N;13;6;2
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;001;FRANCAIS ECR.; ;;O;6;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;002;FRANCAIS ORAL; ;;N;7;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;003;HIST.GEOG.; ;;O;10;3;1
