id;code1;libelle1;code2;libelle2;note
0316659312;001;FRANCAIS ECR.; ;;9
0316659396;001;FRANCAIS ECR.; ;;6
0316659484;001;FRANCAIS ECR.; ;;5
0316727847;001;FRANCAIS ECR.; ;;7
0316727966;001;FRANCAIS ECR.; ;;6
0316913746;001;FRANCAIS ECR.; ;;7
0316913750;001;FRANCAIS ECR.; ;;8
0316913798;001;FRANCAIS ECR.; ;;6
0316913817;001;FRANCAIS ECR.; ;;10
0316913824;001;FRANCAIS ECR.; ;;15
0316913844;001;FRANCAIS ECR.; ;;8
0316913854;001;FRANCAIS ECR.; ;;6
0316913868;001;FRANCAIS ECR.; ;;9
0316913869;001;FRANCAIS ECR.; ;;9
0316913877;001;FRANCAIS ECR.; ;;12
0316913879;001;FRANCAIS ECR.; ;;7
0316913882;001;FRANCAIS ECR.; ;;10
0316913890;001;FRANCAIS ECR.; ;;9
0316913898;001;FRANCAIS ECR.; ;;13
0316913906;001;FRANCAIS ECR.; ;;6
0316913908;001;FRANCAIS ECR.; ;;10
0316913915;001;FRANCAIS ECR.; ;;13
0316913916;001;FRANCAIS ECR.; ;;10
0316913917;001;FRANCAIS ECR.; ;;9
0316913921;001;FRANCAIS ECR.; ;;12
0316913922;001;FRANCAIS ECR.; ;;8
0316913946;001;FRANCAIS ECR.; ;;9
0316913950;001;FRANCAIS ECR.; ;;7
0316913955;001;FRANCAIS ECR.; ;;8
0316913957;001;FRANCAIS ECR.; ;;10
0316913966;001;FRANCAIS ECR.; ;;8
0316913967;001;FRANCAIS ECR.; ;;12
0316913977;001;FRANCAIS ECR.; ;;9
0316913979;001;FRANCAIS ECR.; ;;7
0316913980;001;FRANCAIS ECR.; ;;9
0316913986;001;FRANCAIS ECR.; ;;6
0316913991;001;FRANCAIS ECR.; ;;9
0316913992;001;FRANCAIS ECR.; ;;9
0316914000;001;FRANCAIS ECR.; ;;9
0316914013;001;FRANCAIS ECR.; ;;7
0316914015;001;FRANCAIS ECR.; ;;8
0316914018;001;FRANCAIS ECR.; ;;7
0316914024;001;FRANCAIS ECR.; ;;7
0316914035;001;FRANCAIS ECR.; ;;13
0316914041;001;FRANCAIS ECR.; ;;7
0316914082;001;FRANCAIS ECR.; ;;7
0316914098;001;FRANCAIS ECR.; ;;8
0316914109;001;FRANCAIS ECR.; ;;8
0316914119;001;FRANCAIS ECR.; ;;7
0316914127;001;FRANCAIS ECR.; ;;9
0316914194;001;FRANCAIS ECR.; ;;9
0316914230;001;FRANCAIS ECR.; ;;9
0316914241;001;FRANCAIS ECR.; ;;13
0316914252;001;FRANCAIS ECR.; ;;11
0316914273;001;FRANCAIS ECR.; ;;9
0316914294;001;FRANCAIS ECR.; ;;6
0316914317;001;FRANCAIS ECR.; ;;9
0316914322;001;FRANCAIS ECR.; ;;13
0316914360;001;FRANCAIS ECR.; ;;12
0316914373;001;FRANCAIS ECR.; ;;9
0316914392;001;FRANCAIS ECR.; ;;12
0316914418;001;FRANCAIS ECR.; ;;11
